path,Economics-Mulligan,Geogebra,Heizmann-UltimateInvariantSynthesis,LassoRanker,Pine,Sturm-MBO,Sturm-MGC,UltimateAutomizer,Uncu,ezsmt,hong,hycomp,kissing,meti-tarski,pPDA-Chiari-Pontiggia-Winkler,zankl
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_1p_4m_1npos_8p_p.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_Mitrinovic_7_36.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_Lemma4d.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Bessack_4_1.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_Lemma1.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Thm6.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Bessack_4_3.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_1p_4m_1w_7p_p.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Sec4b.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_1p_4m_1w_5p_p.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_Mitrinovic_3_57b.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Bessack_1_0.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_1p_3m_m.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Bessack_2_2.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Bessack_5_2.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Bessack_4_2.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Bessack_4_0.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_Lemma2.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_Mitrinovic_4_17.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Bessack_2_1.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_1p_4m_1w_8p_1w_n.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_AmerMathMonthly_vol125no10_p922c.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_1p_4m_1w_1p_p.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_Mitrinovic_4_15.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_Lemma4c.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC10_ex3a.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_Mitrinovic_8_3.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_Mitrinovic_11_1b.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC05_Bessack_5_m2.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC05_LevinRHSa.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC05_LevinRHSc.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC05_Bessack_2_m1.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC05_Bessack_3_m2.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC10_ex1e.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_JSC_SUMCracker_14c.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_JSC_SUMCracker_14e.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC05_Bessack_4_m2.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_Mitrinovic_4_1.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_JSC_SUMCracker_15.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC05_AmerMathMonthly10347LHSb.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC10_ex3b.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_Mitrinovic_4_18.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_Mitrinovic_4_22b.smt2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
