path,Averest,Bouvier,DTP,RTCL,RVpredict-BohanLi,asp,bcnscheduling,cellar,diamonds,fuzzy-matrix,job_shop,jobshop-BohanLi,mathsat,parity,planning,qlock,queens_bench,sal,schedulingIDL,sep
QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc000.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc007.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc000.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_safe_bgmc002.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_safe_blmc006.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_safe_bgmc004.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_safe_blmc004.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc005.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_safe_bgmc003.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_safe_blmc003.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc008.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc009.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_safe_blmc001.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc011.smt2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
