path,RicartAgrawala,boogie,check,grasshopper,misc,psyco,sexpr,simplify,simplify2,sledgehammer,tokeneer,tptp
UFLIA/tptp/NUM859=1.smt2,0,0,0,0,0,0,0,0,0,0,0,1
UFLIA/tptp/ARI603=1.smt2,0,0,0,0,0,0,0,0,0,0,0,1
UFLIA/tptp/ARI604=1.smt2,0,0,0,0,0,0,0,0,0,0,0,1
UFLIA/RicartAgrawala/ricart-agrawala1.smt2,1,0,0,0,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/copy_loop_invariant_50_5.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/delete_invariant_35_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/merge_loop_invariant_61_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/merge_postcondition_of_merge_64_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/union_postcondition_of_union_36_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/split_loop_check_heap_access_38_6_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/difference_check_heap_access_35_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/difference_postcondition_of_difference_33_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/insertion_sort_loop_check_heap_access_58_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/pull_strands_loop_check_heap_access_99_6.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/insertion_sort_loop_check_heap_access_61_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/pull_strands_postcondition_of_pull_strands_102_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/difference_check_heap_access_43_15.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/delete_check_free_51_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/union_check_heap_access_38_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/insertion_sort_loop_check_heap_access_57_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/delete_postcondition_of_delete_59_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/sls_traverse_loop_invariant_32_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/insertion_sort_loop_check_heap_access_42_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/insert_loop_invariant_46_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/insertion_sort_loop_invariant_44_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/difference_postcondition_of_difference_38_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/delete_check_heap_access_50_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/delete_loop_invariant_46_5.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/insert_invariant_35_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/difference_postcondition_of_difference_43_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/merge_sort_precondition_of_merge_sort_101_10.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/union_precondition_of_union_35_21.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/insertion_sort_loop_check_heap_access_58_4_1.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/concat_postcondition_of_concat_27_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/strand_sort_loop_invariant_118_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/union_precondition_of_union_44_15.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/difference_precondition_of_difference_35_21.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/split_loop_invariant_44_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/union_check_heap_access_35_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/traverse_loop_invariant_46_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/merge_invariant_49_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/sls_insert_postcondition_of_sls_insert_28_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/insertion_sort_postcondition_of_insertion_sort_63_1.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/reverse_loop_invariant_37_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/contains_loop_invariant_47_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/difference_postcondition_of_difference_31_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/merge_loop_invariant_62_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/remove_postcondition_of_remove_45_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/sls_insert_postcondition_of_sls_insert_42_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/traverse_postcondition_of_traverse_47_1.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/sls_dispose_loop_invariant_27_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/filter_loop_invariant_48_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/contains_invariant_36_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/pull_strands_loop_check_heap_access_87_6.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/split_loop_check_heap_access_39_6_1.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/strand_sort_loop_precondition_of_merge_117_14.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/contains_postcondition_of_contains_49_7.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/insert_postcondition_of_insert_49_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/merge_invariant_46_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/difference_precondition_of_difference_43_15.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/uninstantiated/filter_postcondition_of_filter_49_1.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/copy_loop_invariant_50_5.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/delete_postcondition_of_delete_56_12.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/remove_loop_invariant_36_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/pull_strands_postcondition_of_pull_strands_102_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/pull_strands_invariant_78_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/delete_postcondition_of_delete_54_12.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/insert_loop_invariant_46_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/quicksort_postcondition_of_quicksort_55_45.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/difference_postcondition_of_difference_38_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/copy_invariant_35_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/insert_postcondition_of_insert_56_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/difference_postcondition_of_difference_43_8.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/concat_postcondition_of_concat_27_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/traverse_loop_invariant_46_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/sls_insert_postcondition_of_sls_insert_28_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/split_invariant_27_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/merge_invariant_49_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/insertion_sort_postcondition_of_insertion_sort_63_1.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/split_postcondition_of_split_45_1.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/remove_postcondition_of_remove_45_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/filter_loop_invariant_48_3.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/strand_sort_loop_precondition_of_merge_117_14.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/insert_postcondition_of_insert_49_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/contains_postcondition_of_contains_49_7.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/merge_invariant_46_2.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/grasshopper/instantiated/quicksort_precondition_of_quicksort_55_4.smt2,0,0,0,1,0,0,0,0,0,0,0,0
UFLIA/psyco/192.smt2,0,0,0,0,0,1,0,0,0,0,0,0
UFLIA/psyco/191.smt2,0,0,0,0,0,1,0,0,0,0,0,0
UFLIA/boogie/StaticField_Test.Foo.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/ExposeVersion_X..ctor-level_2.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/PeerFields_Parent..ctor.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/Chunker_Chunker..ctor_System.String_notnull_System.Int32.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/Spouse_Person.MM.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/AdvancedTypes_AdvancedTypes.Advanced4_P_notnull-orderStrength_1.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/PureAxioms_UnsoundSpec..ctor-level_2.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/Arrays_P0-noinfer.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/AndNumbers_T..ctor-level_0.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/loopinv1_LoopInv1..ctor-infer_eh.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/Boxes_Boxes_2.P1_Boxes_2..type.parameter.U.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/Ensures_Q-noinfer_3.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/VarMapFixPoint_main.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/DoWhileGood_Test.Copy_System.Int32.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/PeerFields_Parent.M.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/Array_test3.MyClass.Allocate1_System.Int32.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/AssignToNonInvariantField_AnotherClient.UpdateTheRep_Good.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/ExposeVersion_S..ctor-level_2.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/PureCall_Test.FieldLikeTest.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/AdditiveMethods_AdditiveMethods.M.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/SimpleAssignments2_SimpleAssignments2..ctor-infer_i.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/loopinv0_Node..ctor-infer_eh.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/Types_Types.P4_System.Object.array_notnull_System.Int32.array_notnull_A.array_notnull_J.array_notnull_B.array_notnull-orderStrength_1.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/Bag1_Bag..ctor_System.Int32.array.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/ExactTypes_X..ctor.smt2,0,1,0,0,0,0,0,0,0,0,0,0
UFLIA/boogie/VisibilityBasedInvariants_Thing.S.smt2,0,1,0,0,0,0,0,0,0,0,0,0
