path,Jiang,Kepler,Leetcode,Norn,Reynolds,denghang,full_str_int,redos_attack_detection,str-small-rw-Noetzli,stringfuzz-lu,transducer-plus,webapp,woorpje-lu
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-1.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-107.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-90.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-152.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-70.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-136.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-103.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-27.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-129.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-24.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-60.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-133.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-30.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-134.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-106.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-72.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-124.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-98.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-94.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/StringReplace/norn-benchmark-79.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-49.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-62.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-40.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-55.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-121.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-61.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-141.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-65.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-136.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-27.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-144.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-133.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-31.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-21.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-45.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-52.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-131.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-148.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-67.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-48.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-13.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-50.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-51.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/ab/norn-benchmark-139.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-675.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-631.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1079.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-489.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-210.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-982.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-940.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-246.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1063.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-498.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1162.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-123.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-62.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-996.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1049.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-915.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-499.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-917.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-531.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-153.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-420.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-402.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-107.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-491.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-242.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-950.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1132.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-22.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-370.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-598.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1064.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-170.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-500.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-90.smt2,0,0,0,1,0,0,0,0,0,0,0,0,0
