path,Bitwuzla,,SMTInterpol,,cvc5,
,solved,runtime,solved,runtime,solved,runtime
ABV/20230321-UltimateAutomizerSvcomp2023/dll2n_update_all.i_15.smt2,0,0.22130508301779628,0,0.48670830304035917,0,1.3224174391943961
ABV/20230321-UltimateAutomizerSvcomp2023/sll2n_update_all_reverse.i_98.smt2,0,0.22191511001437902,0,0.5747593949781731,1,0.2638098718598485
ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_6.smt2,0,0.2438871250487864,0,0.5524035430280492,1,0.2292996379546821
ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_74.smt2,0,0.2433105658274144,0,0.48286476102657616,0,80.43051015096717
ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_11.smt2,0,0.330730919027701,0,0.5564788349438459,0,80.42028519511223
ABV/20230321-UltimateAutomizerSvcomp2023/test_mutex_unbounded-1.i_81.smt2,0,0.24527827906422317,0,1201.7232257949654,0,1201.747368912911
ABV/20230321-UltimateAutomizerSvcomp2023/packet_filter.i_43.smt2,0,0.21855724998749793,0,0.7361704570357688,1,0.2373716849833727
ABV/20230321-UltimateAutomizerSvcomp2023/dll-token-1.i_15.smt2,0,0.2389742019586265,0,0.9692654490354471,0,1201.717535489006
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test15-1.i_12.smt2,0,1201.251858888194,0,0.5171933160163462,0,80.34738680091687
ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_104.smt2,0,0.31625203718431294,0,0.5529541180003434,0,80.40519378287718
ABV/20230321-UltimateAutomizerSvcomp2023/sum_array-2.i_32.smt2,0,0.22668372513726354,0,0.5040314230136573,0,1201.7161214849912
ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_160.smt2,0,0.22204853780567646,0,0.538667838962283,0,80.45744314300828
