path,assert,declare-fun,declare-const,declare-sort,define-fun,define-fun-rec,define-funs-rec,define-sort,declare-datatype,declare-datatypes,BitVec,bvempty,concat,extract,repeat,bvnot,bvand,bvor,bvnand,bvnor,bvxor,bvxnor,bvcomp,bvneg,bvadd,bvmul,bvudiv,bvurem,bvsub,bvsdiv,bvsrem,bvsmod,bvult,bvule,bvugt,bvuge,bvslt,bvsle,bvsgt,bvsge,bvshl,bvlshr,bvashr,zero_extend,sign_extend,rotate_left,rotate_right,reduce_and,reduce_or,reduce_xor,bvite,bv1ult,bitOf,bvuaddo,bvsaddo,bvumulo,bvsmulo,bvusubo,bvssubo,bvsdivo,bvultbv,bvsltbv,bvredand,bvredor,int2bv,bv2nat,bvsize,true,false,Bool,ite,not,or,and,=>,xor,=,distinct,const,exists,forall,let,maxTermDepth,normalizedSize
BV/2017-Preiner-scholl-smt08/RND/RND_3_15.smt2,1,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,30,22,44,0,0,0,0,0,0,0,0,0,0,5,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,0,0,6,0,0,4,4,0,13,2970
BV/2017-Preiner-scholl-smt08/RND/RND_6_13.smt2,1,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,85,102,150,0,0,0,0,0,0,0,0,0,0,6,12,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,20,0,0,20,0,0,4,8,3,20,7565
BV/2017-Preiner-scholl-smt08/RND/RND_6_16.smt2,1,0,7,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,171,204,278,0,0,0,0,0,0,0,0,0,0,15,7,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,43,0,0,27,0,0,19,35,2,24,14199
BV/2017-Preiner-scholl-smt08/RND/RND_3_30.smt2,1,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,152,155,241,0,0,0,0,0,0,0,0,0,0,19,12,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46,41,0,0,24,0,0,6,10,2,18,11663
BV/2017-Preiner-scholl-smt08/RND/RND_3_24.smt2,1,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,163,146,239,0,0,0,0,0,0,0,0,0,0,16,12,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,46,55,0,0,30,0,0,9,11,3,20,12235
BV/2017-Preiner-scholl-smt08/RND/RND_6_6.smt2,1,0,7,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,59,56,89,0,0,0,0,0,0,0,0,0,0,3,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,22,0,0,11,0,0,12,23,0,21,5805
BV/2017-Preiner-scholl-smt08/RND/RND_4_14.smt2,1,0,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,93,89,139,0,0,0,0,0,0,0,0,0,0,7,8,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,22,0,0,21,0,0,7,10,1,18,7403
BV/2017-Preiner-scholl-smt08/RND/RND_6_25.smt2,1,0,7,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,454,582,720,0,0,0,0,0,0,0,0,0,0,44,33,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,90,103,0,0,59,0,0,23,22,3,24,33523
BV/2017-Preiner-scholl-smt08/RND/RND_3_23.smt2,1,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,139,122,189,0,0,0,0,0,0,0,0,0,0,11,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,34,0,0,25,0,0,3,1,2,19,9290
BV/2017-Preiner-scholl-smt08/RND/RND_3_4.smt2,1,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,13,25,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,0,0,4,0,0,5,6,0,13,2214
